Scene Number,Instruction Type,Instruction
1.0,sd,"turn left into the road, Drive around road blockages"
1.0,d,"Turn left, then stay on the right side to avoid hitting the person on the right side of the truck. Go back to left lane once obstructions on left lane are gone."
1.0,s,Turn right and move to the other lane carefully to avoid the trucks on the side of the road. Move back to other lane when the trucks clear up.
1.0,s,turn right and then slide into the left lane to avoid hitting the trucks
2.0,s,turn left at the intersection
2.0,s,Turn right and continue down this road. The road will change from two lanes into one lane.
2.0,s,"Turn left, then slow down right before the speed bump to reduce impact."
2.0,s,turn left
3.0,d,"Wait unitl the gate opens, move forward, slow down for pedestrians, stop for incoming traffic"
3.0,ds,"Slow down on the speed bump, come to a stop near the toll gate until it opens, slowly proceed but watch out for the group of individuals crossing the street, then turn left"
3.0,sd,"Go straight, but make sure to stop for the crossing bar. Continue forward and watch out for the group of people crossing the road."
3.0,ds,follow the car in front stop for the barricades
4.0,d,"Slightly slow down for the person crossing the street, then preceed as normal."
4.0,,Continue going straight.
4.0,d,be catious of pedestrians
5.0,s,"Switch to the left lane to avoid the construction on the right lane, and preceed on the right lane after the construction is clear."
5.0,s,stop at the intersection
5.0,s,Follow the cones to merge onto the other lane
5.0,sd,Turn and merge onto the left lane. Follow the yellow car in front.
6.0,s,"Switch to the right lane when you see the truck on the left lane, then go back to the left lane once the truck is gone, then turn left"
6.0,ds,Slightly go to the right to avoid hitting the person walking down the left lane
6.0,d,"Continue straight then change lanes when the car is in the way, then turn left immediately."
6.0,s,swerve around the parked car then turn left
6.0,s,"Slow down for road obstruction, Move to the right lane, Move back to left lane and make a left turn. "
7.0,s,Continue straight and then turn left. Watch out for pedestrians on the road.
7.0,d,"Slow down when the people are crossing the street on the left side, then proceed normally."
7.0,,turn left
7.0,,turn left
7.0,d,Turn left after the two individuals cross the street
8.0,,turn left
8.0,,Continue straight and then turn left.
8.0,s,Take the left that comes right after the white truck on the right side of the road.
8.0,,turn left
9.0,,Continue going straight.
10.0,s,Switch to the left lane after passing the final obstructing car parked on the left lane.
10.0,,switch to the left lane
10.0,s,"complete the right turn, then switch into the left lane"
10.0,s,Turn right and then continue going straight. Merge onto the left lane once the trucks clear up.
11.0,ds,Avoid the vehicle and obstructions in front of you by getting onto the middle of the road. Drive slowly and go back to the original lane once obstructions clear.
11.0,s,Drive around the road obstruction
11.0,s,Turn and split the lanes in order to avoid the trucks. Get back onto our side once the construction clears up.
11.0,s,turn left then go around the parked cars
12.0,d,Slow down when the  orange bus turns into your lane.
12.0,,Continue going straight.
13.0,,Continue going on the same lane
13.0,d,Follow yellow bus.
13.0,d,Follow the orange bus.
14.0,,Continue going on the same lane
14.0,d,continue straight when vehicle in front starts continuing straight
14.0,d,Follow the orange bus.
14.0,d,follow the orange bus
14.0,d,Follow yellow bus.
15.0,,Continue going on the same lane
15.0,d,Follow yellow bus.
15.0,d,Follow the orange bus.
16.0,s,Turn left and then continue going straight. Move on to the other lane when the FedEx truck is blocking our lane.
16.0,s,"Turn left, switch to the right lane when you see the stationary white truck"
16.0,s,"turn left , Drive around the road obstruction"
16.0,s,turn left and move around the parked vehicles
17.0,s,slide into the left turning lane and then stop at the zebra crossing
17.0,sd,Continue going straight and then change lanes to take a left. Wait for people to finish crossing
17.0,d,"switch lanes to the left lane, stop for incoming pedestrians"
17.0,d,Stop when the people are crossing the road
17.0,s,Switch to the left lane when it appears
18.0,,"Turn left, then turn left again when you can"
18.0,s,"make a left turn and drive aroudn road obstructions, turn left"
18.0,s,complete the left turn then enter the building horshoe
18.0,s,Merge on to the lane in front and then take the left turn.
19.0,sd,"turn left, make another left turn. "
19.0,sd,Take a left turn and then continue going straight. Watch out for people crossing. Start moving to the left.
19.0,,Turn left
19.0,d,Stop when you see the group of people at the stopwalk
19.0,,turn left
20.0,,Turn right into the road when traffic is clear
20.0,s,turn right at the intersection when it is safe
20.0,d,Wait for the black car to pass and then go straight and take a right. Then continue going straight.
20.0,d,Turn to the right once the car has passed through
21.0,s,turn right at the intersection when it is safe
21.0,d,Turn right once the car has passed through the intersection
21.0,d,Turn right into the road when traffic is clear
21.0,d,Wait for the cars to pass and the people to cross. Then move slowly and take a right turn.
22.0,s,Switch to the right lane when you see the stationary car ahead.
22.0,,Switch to the left lane
22.0,,"switch to the left lane, make a left turn. "
22.0,,Take the first left
22.0,s,Switch to the left lane and continue going straight. Then take a left turn.
22.0,s,slide into the left lane then turn left at the intersection
23.0,s,Quickly switch lanes to avoid the car in the road and then continue going straight in the same lane.
23.0,s,Drive around road blockages
23.0,s,Go to the left lane after you pass the car
24.0,ds,Come to a full stop before entering the intersection. Then merge onto the road if no cars are coming.
24.0,,"stop at the intersection, then continue going straight"
24.0,d,Continue going straight and merge onto the upcoming lane. Watch out for people crossing.
24.0,d,"stop for incoming traffic, if clear continue straight. "
25.0,d,Wait for the person and car to cross. Then take a right turn.
25.0,d,turn right after the pedestrian finishes crossing
25.0,d,"Wait for the person to cross the street and for the car to pass through the intersection, then turn right."
25.0,d,"stop for incoming traffic and pedestrians, once clear move straight. "
26.0,s,Quickly change lanes to avoid the car then get back to the left lane and continue going straight. Slow down behind the person in the motorcycle.
26.0,d,"Go on the right side of the car that is partially blocking the lane, then proceed back onto the left lane."
26.0,s,"Drive around the vehicles blocking the road, come to a complete stop behind stop vehicle. "
26.0,s,swerve around the parked cars
27.0,d,once vehicle begins to move turn to the right
27.0,s,Turn to the far right lane
27.0,d,"when the bike moves out of the way, turn right at the intersection"
27.0,d,Wait for the motorcycle person to pass and then take a right turn and go straight.
28.0,sd,Drive around the road obstruction.
28.0,s,"Switch partially to the right lane before reaching the car in front, and then stop at the stoplight."
28.0,s,Switch lanes and then go back to the orginal lane. Then wait at the stop lights. Wait for the people crossing.
28.0,s,swerve around the parked cars then stop at the intersection
29.0,,Just wait for the lights.
30.0,,Go straight on the lane. Then wait for a little bit before taking a left.
30.0,,Turn left slowly at the intersection
30.0,s,stop at the intersections
30.0,d,turn to the right once traffic is clear
31.0,,Follow the current lane.
32.0,,Take a left turn and merge onto the new road. Then continue on the new lane.
32.0,d,"turn left, turn left again. "
32.0,,turn left
32.0,,Take the very first left
33.0,d,Slow down when you are close to the large vehicle in front.
33.0,d,Continue going on the same lane. Slow down for the bust in front.
34.0,s,"Slightly go on the right lane, across the double marked lines, to avoid hitting the truck in front, then go back to the left lane."
34.0,s,Drive around the road obstruction
34.0,s,Continue on the same lane. Move to the next lane to avoid the truck and then get back onto the previous lane.
35.0,,Continue straight on the same lane.
36.0,,Continue on the same lane.
36.0,s,follow the road
37.0,s,"Go between the solid lines to avoid the vehicles on the left lane, then go back to the left lane once that is cleared."
38.0,sd,"follow the car ahead, avoid and drive around the vehicles on the side of the road"
38.0,s,Drive around the road blockages
38.0,s,"After passig the obstruction on the left side of the road, merge back onto the left lane"
38.0,d,Follow the gray car.
38.0,s,Split the lane to avoid the trucks on the side of the road.
39.0,,Continue straight
41.0,s,turn left at the intersection and merge onto the far right lane
41.0,s,"turn left, switch lanes all the way to right, stop behind the car"
41.0,s,"turn left at the intersection, then slide into the right most lane, then stop at the intersection"
41.0,s,Turn left onto the leftmost lane
41.0,s,Switch to the rightmost lane
41.0,s,Take a left turn and the continue going straight. Stop behind the white car.
42.0,s,Continue going straight and move slightly right to avoid the truck on your left.
42.0,s,Stay on the right side of the lane to avoid hitting the car on your left side of the lane
42.0,s,"go straight, move away slightly from parked vehicles "
42.0,s,Go back onto the left lane
42.0,s,Keep staying on the right side to avoid hitting the second car on the left side of your lane
43.0,s,stop at the intersection
43.0,s,Keep going straight and then stop at the stop light.
43.0,d,Slow down when you see when group of individuals crossing the street.
44.0,sd,slow down at the intersection and wait for the white truck to turn then continue
44.0,,Keep going straight and follow the same lane.
44.0,s,go straight
44.0,d,Slow down when the white truck turns left
45.0,d,Pass the toll gate when the gate opens
45.0,d,continue forward once gate opens
45.0,d,Stop at the toll gate once the car ahead passes through it
45.0,s,"stop at the barricade, once the arm is lifted proceed"
45.0,sd,Move slowly forward and stop behind the car in front of you. Stop in front of the crossing guard. Move once the crossing guard goes up.
46.0,s,stop at the intersection
